示范县,商品名称,链接,重量（斤）
安徽巢湖,巢湖稻虾米,https://item.taobao.com/item.htm?spm=a230r.1.14.21.40534080BTaSRU&id=631612032416&ns=1&abbucket=12#detail,50
安徽巢湖,巢湖稻虾米,https://item.taobao.com/item.htm?spm=a230r.1.14.3.57fc7d48PtOcVr&id=638509436578&ns=1&abbucket=13#detail,50
安徽巢湖,巢湖稻虾米,https://item.jd.com/10042277644803.html,50
安徽巢湖,巢湖稻虾米,https://item.jd.com/10033573567269.html,50
安徽巢湖,巢湖稻虾米,https://item.jd.com/10047604731614.html,50
安徽巢湖,巢湖稻虾米,https://item.jd.com/10045245954844.html,50
安徽巢湖,巢湖稻虾米,https://item.jd.com/10033522605423.html,50
安徽巢湖,巢湖稻虾米,https://item.taobao.com/item.htm?spm=a1z10.1-c.w4004-21807002084.7.1458af174fFyIM&id=636005374398,10
江西万年,万年贡蟹田丝苗米,https://item.jd.com/3948513.html,10
江西万年,万年贡蟹田丝苗米,https://item.jd.com/10044285208479.html,10
江西万年,万年贡蟹田丝苗米,https://item.jd.com/10037731135851.html,10
江西万年,万年贡蟹田丝苗米,https://item.jd.com/10045146262500.html,10
江西万年,万年贡蟹田丝苗米,https://item.jd.com/10044877068792.html,10
江西万年,万年贡蟹田丝苗米,https://item.jd.com/10044060277260.html,10
江西万年,万年贡蟹田丝苗米,https://detail.tmall.com/item.htm?spm=a230r.1.14.18.51626186k4dVK3&id=551320017113&ns=1&abbucket=14,10
江西万年,万年贡蟹田丝苗米,https://item.taobao.com/item.htm?spm=a230r.1.14.24.51626186k4dVK3&id=661934756036&ns=1&abbucket=14#detail,10
江西万年,万年贡蟹田丝苗米,https://detail.tmall.com/item.htm?spm=a230r.1.14.162.5db51b6cVQiMi2&id=632020187455&ns=1&abbucket=5,20
湖北仙桃,仙桃香米,https://item.jd.com/10038453425735.html,10
湖北仙桃,仙桃香米,https://item.jd.com/10045359779981.html,10
湖北仙桃,仙桃香米,https://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.1.7e0a6115DCBRPX&id=652394639487&skuId=4906976102267&areaId=310100&user_id=2212301944237&cat_id=2&is_b=1&rn=64e6f8f31c46c6c4d46cb676b8f89868,10
湖北仙桃,仙桃香米,https://item.taobao.com/item.htm?spm=a230r.1.14.125.47cd48877KUf6L&id=670524154960&ns=1&abbucket=8#detail,10
湖北仙桃,仙桃香米,https://item.taobao.com/item.htm?spm=a230r.1.14.22.47cd48877KUf6L&id=576297056564&ns=1&abbucket=8#detail,50
湖北仙桃,仙桃香米,https://item.taobao.com/item.htm?spm=2013.1.0.0.5b9b6228XDkbAX&id=15869837123,50
湖北仙桃,仙桃香米,https://item.taobao.com/item.htm?spm=a230r.1.14.185.3bfc7cdcA4v95c&id=577400985208&ns=1&abbucket=8#detail,50
湖北仙桃,仙桃香米,https://item.taobao.com/item.htm?spm=a230r.1.14.38.47cd48877KUf6L&id=19475444314&ns=1&abbucket=8#detail,20
湖北仙桃,仙桃香米,https://item.taobao.com/item.htm?spm=a230r.1.14.115.47cd48877KUf6L&id=610077043339&ns=1&abbucket=8#detail,10
湖北仙桃,仙桃香米,https://item.taobao.com/item.htm?spm=a230r.1.14.121.3bfc7cdcA4v95c&id=659456622147&ns=1&abbucket=8#detail,10
,黑龙江五常大米,https://item.jd.com/100009148126.html#crumb-wrap,10
,黑龙江五常大米,https://item.jd.com/10036328086452.html,10
,黑龙江五常大米,https://item.jd.com/100011002920.html,10
,黑龙江五常大米,https://item.jd.com/100021012536.html,10
,黑龙江五常大米,https://detail.tmall.com/item.htm?spm=a230r.1.14.93.45306046BTy1Uq&id=634840996132&ns=1&abbucket=8,10
,黑龙江五常大米,https://detail.tmall.com/item.htm?spm=a230r.1.14.28.45306046BTy1Uq&id=616803244044&ns=1&abbucket=8,20
,黑龙江五常大米,https://chaoshi.detail.tmall.com/item.htm?spm=a230r.1.14.34.45306046BTy1Uq&id=547205494186&ns=1&abbucket=8&skuId=4905510714510,20
,黑龙江五常大米,https://chaoshi.detail.tmall.com/item.htm?spm=a230r.1.14.58.45306046BTy1Uq&id=613755663712&ns=1&abbucket=8&skuId=4731547344864,20
,黑龙江五常大米,https://detail.tmall.com/item.htm?spm=a230r.1.14.64.45306046BTy1Uq&id=620334238453&ns=1&abbucket=8,20
,黑龙江五常大米,https://detail.tmall.com/item.htm?spm=a230r.1.14.99.45306046BTy1Uq&id=632838066951&ns=1&abbucket=8&skuId=4591168305651,50
,金龙鱼苏北大米,https://item.jd.com/920015.html,10
,金龙鱼苏北大米,https://item.jd.com/100011600461.html,10
,金龙鱼苏北大米,https://item.jd.com/10021044565129.html,10
,金龙鱼苏北大米,https://item.jd.com/10044448009229.html,10
,金龙鱼苏北大米,https://item.jd.com/10042587228937.html,10
,金龙鱼苏北大米,https://chaoshi.detail.tmall.com/item.htm?spm=a220m.1000858.1000725.1.575d4bc28QwxLn&id=12368769027&skuId=null&areaId=310100&user_id=725677994&cat_id=2&is_b=1&rn=93b7b382ebc531698adcd6e769735807,10
,金龙鱼苏北大米,https://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.26.575d4bc28QwxLn&id=655134300309&areaId=310100&user_id=2202785862890&cat_id=2&is_b=1&rn=93b7b382ebc531698adcd6e769735807,5
,金龙鱼苏北大米,https://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.11.575d4bc28QwxLn&id=667961372556&areaId=310100&user_id=2212577271800&cat_id=2&is_b=1&rn=93b7b382ebc531698adcd6e769735807,8
安徽巢湖,巢湖中垾番茄,https://item.taobao.com/item.htm?spm=2832y.1.14.6.756635e84kA6a6&id=578176656849&ns=1&abbucket=17#detail,3
安徽巢湖,巢湖中垾番茄,https://item.taobao.com/item.htm?spm=2334y.1.14.21.603b5608DEDQix&id=656875357155&ns=1&abbucket=14#detail,3
安徽巢湖,巢湖中垾番茄,https://item.taobao.com/item.htm?spm=a230r.1.14.36.141b30782cP2QD&id=551243087614&ns=1&abbucket=10#detail,5
安徽巢湖,巢湖中垾番茄,https://item.taobao.com/item.htm?spm=a230r.1.14.41.141b30782cP2QD&id=634293018645&ns=1&abbucket=10#detail,5
安徽巢湖,巢湖中垾番茄,https://item.taobao.com/item.htm?spm=a230r.1.14.66.141b30782cP2QD&id=664035213982&ns=1&abbucket=10#detail,5
,陕西泾阳普罗旺斯番茄,https://item.jd.com/10043788952438.html,5
,陕西泾阳普罗旺斯番茄,https://item.jd.com/10026808348416.html,5
,陕西泾阳普罗旺斯番茄,https://item.taobao.com/item.htm?spm=1206a.1.14.11.1af6611bsGSgQ4&id=639411009339&ns=1&abbucket=11#detail,5
,陕西泾阳普罗旺斯番茄,https://item.taobao.com/item.htm?spm=1206a.1.14.29.1af6611bsGSgQ4&id=666360534991&ns=1&abbucket=11#detail,5
,陕西泾阳普罗旺斯番茄,https://item.taobao.com/item.htm?spm=1206a.1.14.94.1af6611bsGSgQ4&id=589400590897&ns=1&abbucket=11#detail,4
